Date,temp_c,n_conc,rep,chla_read,dilution_factor,chla_total,yield,Fo,Fm
12/1/2023,18,100,A,140.81,1.00,140.81,0.13,2104,2406
12/1/2023,18,100,B,177.431,1.00,177.43,0.25,2651,3512
12/1/2023,18,100,C,146.23,1.00,146.23,0.15,2185,2560
12/1/2023,18,10,A,190.89,1.00,190.89,0.29,2852,4020
12/1/2023,18,10,B,192.90,1.00,192.90,0.26,2882,3884
12/1/2023,18,10,C,181.12,1.00,181.12,0.2,2706,3372
12/1/2023,22,100,A,76.2,1.00,76.2,0.26,1139,1549
12/1/2023,22,100,B,81.15,1.00,81.15,0.3,1213,1740
12/1/2023,22,100,C,83.23,1.00,83.23,0.33,1244,1862
12/1/2023,22,10,A,89.05,1.00,89.05,0.28,1331,1540
12/1/2023,22,10,B,123.40,1.00,123.40,0.21,1844,2329
12/1/2023,22,10,C,118.78,1.00,118.78,0.2,1775,2231
12/2/2023,18,100,A,229.86,1.00,229.86,0.35,3434,5302
12/2/2023,18,100,B,269.37,1.00,269.37,0.32,4024,5877
12/2/2023,18,100,C,209.71,1.00,209.71,0.32,3133,4582
12/2/2023,18,10,A,320.19,1.00,320.19,0.34,4783,7193
12/2/2023,18,10,B,325.74,1.00,325.74,0.3,4866,6926
12/2/2023,18,10,C,277.87,1.00,277.87,0.31,,
12/2/2023,22,100,A,195.11,1.00,195.11,0.11,2915,3270
12/2/2023,22,100,B,187.01,1.00,187.01,0.29,2794,3950
12/2/2023,22,100,C,222.03,1.00,222.03,0.26,3317,4475
12/2/2023,22,10,A,204.55,1.00,204.55,0.17,3056,3665
12/2/2023,22,10,B,244.32,1.00,244.32,0.23,3650,4711
12/2/2023,22,10,C,226.31,1.00,226.31,0.22,3381,4334
12/3/2023,18,100,A,447.94,1.00,447.94,0.25,6891,8953
12/3/2023,18,100,B,595.71,1.00,595.71,0.19,8898,10963
12/3/2023,18,100,C,446.47,1.00,446.47,0.28,6669,9323
12/3/2023,18,10,A,518.78,1.00,518.78,0.3,7749,11068
12/3/2023,18,10,B,638.50,1.00,638.50,0.3,9537,13663
12/3/2023,18,10,C,702.11,1.00,702.11,0.25,10487,13936
12/3/2023,22,100,A,420.42,1.00,420.42,0.23,6280,8200
12/3/2023,22,100,B,402.74,1.00,402.74,0.27,6016,8289
12/3/2023,22,100,C,444.12,1.00,444.12,0.26,6634,8946
12/3/2023,22,10,A,430.46,1.00,430.46,0.25,6430,8604
12/3/2023,22,10,B,471.64,1.00,471.64,0.31,7045,10205
12/3/2023,22,10,C,498.16,1.00,498.16,0.31,7441,10711
12/4/2023,18,100,A,630.18,1.50,945.27,0.12,9412,10670
12/4/2023,18,100,B,683.83,1.50,1025.75,0.26,1021,13734
12/4/2023,18,100,C,621.89,1.50,932.84,0.27,9289,12765
12/4/2023,18,10,A,751.19,1.50,1126.79,0.16,11220,13419
12/4/2023,18,10,B,752.39,1.50,1128.59,0.28,11238,15624
12/4/2023,18,10,C,761.16,1.50,1141.74,0.23,11369,14808
12/4/2023,22,100,A,590.76,1.50,886.14,0.14,8824,10304
12/4/2023,22,100,B,620.75,1.50,931.13,0.25,9272,12328
12/4/2023,22,100,C,661.60,1.50,992.40,0.22,9882,12728
12/4/2023,22,10,A,632.20,1.50,948.30,0.14,9443,10947
12/4/2023,22,10,B,745.43,1.50,1118.15,0.26,11134,15055
12/4/2023,22,10,C,873.76,1.50,1310.6,0.18,12513,15309
12/4/2023,28,100,A,15.98,1.00,15.98,0.17,2417,2953
12/4/2023,28,100,B,149.85,1.00,149.85,0.24,2234,2964
12/4/2023,28,100,C,81.55,1.00,81.55,0.43,1219,2130
12/4/2023,28,10,A,91.86,1.00,91.86,0.48,1373,2654
12/4/2023,28,10,B,88.65,1.00,88.65,0.44,1325,23359
12/4/2023,28,10,C,108.94,1.00,108.94,0.44,1628,2906
12/5/2023,18,100,A,630.06,3.00,1890.18,0,9411,9416
12/5/2023,18,100,B,591.43,3.00,1774.29,0.13,8835,10200
12/5/2023,18,100,C,628.19,3.00,1884.57,0.09,9383,10351
12/5/2023,18,10,A,703.31,3.00,2109.93,0.08,10505,11383
12/5/2023,18,10,B,768.19,3.00,2304.57,0.05,11474,12319
12/5/2023,18,10,C,768.19,3.00,2304.57,0.07,11474,12319
12/5/2023,22,100,A,594.31,3.00,1782.92,0.2,8878,11153
12/5/2023,22,100,B,574.17,3.00,1722.51,0.16,8173,9675
12/5/2023,22,100,C,573.68,3.00,1721.04,0.19,8569,10541
12/5/2023,22,10,A,577.63,3.00,1732.89,0.2,8628,10839
12/5/2023,22,10,B,633.21,3.00,1899.63,0.27,9458,12978
12/5/2023,22,10,C,594.57,3.00,1783.71,0.26,8881,12059
12/5/2023,28,100,A,26.25,1.00,26.25,0.15,393,463
12/5/2023,28,100,B,186.67,1.00,186.67,0.23,2789,3619
12/5/2023,28,100,C,142.01,1.00,142.01,0.3,2122,3010
12/5/2023,28,10,A,209.17,1.00,209.17,0.21,3125,3935
