Well	temp_c	n_conc	strain	rep
A01	25	100	874	A
A02	25	100	874	B
A03	25	100	874	C
A04	25	100	874	A
A05	25	100	874	B
A06	25	100	874	C
A07	25	100	874	A
A08	25	100	874	B
A09	25	100	874	C
A10	25	100	874	A
A11	25	100	874	B
A12	25	100	874	C
B01	25	10	874	A
B02	25	10	874	B
B03	25	10	874	C
B04	25	10	874	A
B05	25	10	874	B
B06	25	10	874	C
B07	25	10	874	A
B08	25	10	874	B
B09	25	10	874	C
B10	25	10	874	A
B11	25	10	874	B
B12	25	10	874	C
C01	25	100	874	A
C02	25	100	874	B
C03	25	100	874	C
C04	25	100	874	A
C05	25	100	874	B
C06	25	100	874	C
C07	25	100	874	A
C08	25	100	874	B
C09	25	100	874	C
C10	25	100	874	A
C11	25	100	874	B
C12	25	100	874	C
D01	25	10	874	A
D02	25	10	874	B
D03	25	10	874	C
D04	25	10	874	A
D05	25	10	874	B
D06	25	10	874	C
D07	25	10	874	A
D08	25	10	874	B
D09	25	10	874	C
D10	25	10	874	A
D11	25	10	874	B
D12	25	10	874	C
E01	25	100	874	A
E02	25	100	874	B
E03	25	100	874	C
E04	25	100	874	A
E05	25	100	874	B
E06	25	100	874	C
E07	25	100	874	A
E08	25	100	874	B
E09	25	100	874	C
E10	25	100	874	A
E11	25	100	874	B
E12	25	100	874	C
F01	25	10	874	A
F02	25	10	874	B
F03	25	10	874	C
F04	25	10	874	A
F05	25	10	874	B
F06	25	10	874	C
F07	25	10	874	A
F08	25	10	874	B
F09	25	10	874	C
F10	25	10	874	A
F11	25	10	874	B
F12	25	10	874	C
G01	25	100	874	A
G02	25	100	874	B
G03	25	100	874	C
G04	25	100	874	A
G05	25	100	874	B
G06	25	100	874	C
G07	25	100	874	A
G08	25	100	874	B
G09	25	100	874	C
G10	25	100	874	A
G11	25	100	874	B
G12	25	100	874	C
H01	25	10	874	A
H02	25	10	874	B
H03	25	10	874	C
H04	25	10	874	A
H05	25	10	874	B
H06	25	10	874	C
H07	25	10	874	A
H08	25	10	874	B
H09	25	10	874	C
H10	25	10	874	A
H11	25	10	874	B
H12	25	10	874	C
Z01	25	Spike	874	A
Z02	25	Spike	874	B
Z03	25	Spike	874	C
Z04	25	Spike	874	A
Z05	25	Spike	874	B
Z06	25	Spike	874	C
Z07	25	Spike	874	A
Z08	25	Spike	874	B
Z09	25	Spike	874	C
Z10	25	Spike	874	A
Z11	25	Spike	874	B
Z12	25	Spike	874	C
