Date,temp_c,n_conc,rep,Fluorescence,excitation_λ,emission_λ
11/30/2023,18,100,A,26.108,485,525
11/30/2023,18,100,B,29.81,485,525
11/30/2023,18,100,C,28.622,485,525
11/30/2023,18,10,A,42.123,485,525
11/30/2023,18,10,B,44.901,485,525
11/30/2023,18,10,C,63.379,485,525
11/30/2023,22,100,A,30.785,485,525
11/30/2023,22,100,B,27.681,485,525
11/30/2023,22,100,C,29.537,485,525
11/30/2023,22,10,A,26.784,485,525
11/30/2023,22,10,B,44.144,485,525
11/30/2023,22,10,C,45.605,485,525
12/1/2023,18,100,A,46.74,485,525
12/1/2023,18,100,B,51.383,485,525
12/1/2023,18,100,C,47.766,485,525
12/1/2023,18,10,A,88.897,485,525
12/1/2023,18,10,B,91.68,485,525
12/1/2023,18,10,C,109.369,485,525
12/1/2023,22,100,A,60.398,485,525
12/1/2023,22,100,B,54.832,485,525
12/1/2023,22,100,C,58.845,485,525
12/1/2023,22,10,A,45.213,485,525
12/1/2023,22,10,B,90.001,485,525
12/1/2023,22,10,C,95.543,485,525
12/3/2023,18,100,A,592.986,488,535
12/3/2023,18,100,B,1324.529,488,535
12/3/2023,18,100,C,38.862,488,535
12/3/2023,18,10,A,1815.292,488,535
12/3/2023,18,10,B,1097.934,488,535
12/3/2023,18,10,C,1050.267,488,535
12/3/2023,22,100,A,457.66,488,535
12/3/2023,22,100,B,700.308,488,535
12/3/2023,22,100,C,559.537,488,535
12/3/2023,22,10,A,574.632,488,535
12/3/2023,22,10,B,387.88,488,535
12/3/2023,22,10,C,177.716,488,535
12/4/2023,18,100,A,3450.148,488,535
12/4/2023,18,100,B,388.031,488,535
12/4/2023,18,100,C,1349.411,488,535
12/4/2023,18,10,A,1981.199,488,535
12/4/2023,18,10,B,1406.052,488,535
12/4/2023,18,10,C,2364.395,488,535
12/4/2023,22,100,A,2305.412,488,535
12/4/2023,22,100,B,2595.938,488,535
12/4/2023,22,100,C,103.935,488,535
12/4/2023,22,10,A,1093.132,488,535
12/4/2023,22,10,B,148.254,488,535
12/4/2023,22,10,C,163.593,488,535
12/4/2023,28,100,A,28.356,488,535
12/4/2023,28,100,B,44.056,488,535
12/4/2023,28,100,C,26.085,488,535
12/4/2023,28,10,A,27.901,488,535
12/4/2023,28,10,B,48.477,488,535
12/4/2023,28,10,C,48.661,488,535
12/5/2023,18,100,A,113.009,485,525
12/5/2023,18,100,B,142.793,485,525
12/5/2023,18,100,C,118.744,485,525
12/5/2023,18,10,A,247.226,485,525
12/5/2023,18,10,B,254.542,485,525
12/5/2023,18,10,C,322.428,485,525
12/5/2023,22,100,A,307.044,485,525
12/5/2023,22,100,B,258.751,485,525
12/5/2023,22,100,C,302.185,485,525
12/5/2023,22,10,A,223.246,485,525
12/5/2023,22,10,B,406.596,485,525
12/5/2023,22,10,C,456.718,485,525
12/5/2023,28,100,A,73.969,485,525
12/5/2023,28,100,B,77.68,485,525
12/5/2023,28,100,C,64.911,485,525
12/5/2023,28,10,A,61.865,485,525
12/5/2023,28,10,B,103.977,485,525
12/5/2023,28,10,C,130.64,485,525
12/6/2023,18,100,A,57.903,488,535
12/6/2023,18,100,B,71.868,488,535
12/6/2023,18,100,C,72.58,488,535
12/6/2023,18,10,A,111.768,488,535
12/6/2023,18,10,B,147.687,488,535
12/6/2023,18,10,C,221.252,488,535
12/6/2023,22,100,A,184.196,488,535
12/6/2023,22,100,B,175.007,488,535
12/6/2023,22,100,C,189.36,488,535
12/6/2023,22,10,A,130.945,488,535
12/6/2023,22,10,B,225.2,488,535
12/6/2023,22,10,C,266.251,488,535
12/6/2023,28,100,A,38.61,488,535
12/6/2023,28,100,B,42.49,488,535
12/6/2023,28,100,C,36.724,488,535
12/6/2023,28,10,A,37.232,488,535
12/6/2023,28,10,B,71.928,488,535
12/6/2023,28,10,C,83.635,488,535
12/7/2023,18,100,A,163.702,485,525
12/7/2023,18,100,B,154.976,485,525
12/7/2023,18,100,C,180.544,485,525
12/7/2023,18,10,A,261.645,485,525
12/7/2023,18,10,B,259.967,485,525
12/7/2023,18,10,C,322.947,485,525
12/7/2023,22,100,A,300.794,485,525
12/7/2023,22,100,B,248.522,485,525
12/7/2023,22,100,C,284.108,485,525
12/7/2023,22,10,A,166.029,485,525
12/7/2023,22,10,B,228.098,485,525
12/7/2023,22,10,C,257.314,485,525
12/7/2023,28,100,A,39.546,485,525
12/7/2023,28,100,B,43.922,485,525
12/7/2023,28,100,C,38.166,485,525
12/7/2023,28,10,A,41.728,485,525
12/7/2023,28,10,B,69.396,485,525
12/7/2023,28,10,C,77.439,485,525
12/8/2023,18,100,A,109.837,488,535
12/8/2023,18,100,B,140.827,488,535
12/8/2023,18,100,C,123.309,488,535
12/8/2023,18,10,A,185.078,488,535
12/8/2023,18,10,B,212.859,488,535
12/8/2023,18,10,C,385.626,488,535
12/8/2023,22,100,A,142.867,488,535
12/8/2023,22,100,B,143.91,488,535
12/8/2023,22,100,C,152.442,488,535
12/8/2023,22,10,A,47.864,488,535
12/8/2023,22,10,B,83.713,488,535
12/8/2023,22,10,C,95.326,488,535
12/8/2023,28,100,A,52.004,488,535
12/8/2023,28,100,B,43.165,488,535
12/8/2023,28,100,C,31.665,488,535
12/8/2023,28,10,A,48.233,488,535
12/8/2023,28,10,B,68.529,488,535
12/8/2023,28,10,C,80.652,488,535
