Date,temp_c,n_conc,rep,Fluorescence
10/13/2023,18,100,A,26.061
10/13/2023,18,100,B,24.606
10/13/2023,18,100,C,26.464
10/13/2023,18,10,A,41.184
10/13/2023,18,10,B,32.595
10/13/2023,18,10,C,31.484
10/13/2023,22,100,A,22.402
10/13/2023,22,100,B,28.285
10/13/2023,22,100,C,37.258
10/13/2023,22,10,A,33.64
10/13/2023,22,10,B,26.418
10/13/2023,22,10,C,34.883
10/13/2023,28,100,A,30.109
10/13/2023,28,100,B,42.083
10/13/2023,28,100,C,25.947
10/13/2023,28,10,A,30.168
10/13/2023,28,10,B,25.302
10/13/2023,28,10,C,21.617
10/14/2023,18,100,A,29.57
10/14/2023,18,100,B,28.729
10/14/2023,18,100,C,31.779
10/14/2023,18,10,A,34.73
10/14/2023,18,10,B,39.317
10/14/2023,18,10,C,42.121
10/14/2023,22,100,A,24.666
10/14/2023,22,100,B,36.974
10/14/2023,22,100,C,45.513
10/14/2023,22,10,A,47.596
10/14/2023,22,10,B,33.473
10/14/2023,22,10,C,55.766
10/14/2023,28,100,A,37
10/14/2023,28,100,B,49.87
10/14/2023,28,100,C,27.478
10/14/2023,28,10,A,36.905
10/14/2023,28,10,B,29.534
10/14/2023,28,10,C,21.845
10/15/2023,18,100,A,56.279
10/15/2023,18,100,B,45.521
10/15/2023,18,100,C,67.655
10/15/2023,18,10,A,58.461
10/15/2023,18,10,B,85.646
10/15/2023,18,10,C,87.978
10/15/2023,22,100,A,35.465
10/15/2023,22,100,B,68.105
10/15/2023,22,100,C,99.696
10/15/2023,22,10,A,124.09
10/15/2023,22,10,B,73.992
10/15/2023,22,10,C,108.582
10/15/2023,28,100,A,76.689
10/15/2023,28,100,B,88.822
10/15/2023,28,100,C,41.91
10/15/2023,28,10,A,48.053
10/15/2023,28,10,B,41.679
10/15/2023,28,10,C,22.525
10/16/2023,18,100,A,228.817
10/16/2023,18,100,B,163.518
10/16/2023,18,100,C,218.235
10/16/2023,18,10,A,195.2
10/16/2023,18,10,B,275.591
10/16/2023,18,10,C,237.816
10/16/2023,22,100,A,111.381
10/16/2023,22,100,B,234.833
10/16/2023,22,100,C,266.579
10/16/2023,22,10,A,309.499
10/16/2023,22,10,B,229.989
10/16/2023,22,10,C,307.677
10/16/2023,28,100,A,176.458
10/16/2023,28,100,B,174.123
10/16/2023,28,100,C,95.344
10/16/2023,28,10,A,106.955
10/16/2023,28,10,B,89.865
10/16/2023,28,10,C,30.667
10/17/2023,18,100,A,247.362
10/17/2023,18,100,B,243.571
10/17/2023,18,100,C,292.118
10/17/2023,18,10,A,223.932
10/17/2023,18,10,B,266.043
10/17/2023,18,10,C,252.379
10/17/2023,22,100,A,190.777
10/17/2023,22,100,B,334.34
10/17/2023,22,100,C,379.356
10/17/2023,22,10,A,310.912
10/17/2023,22,10,B,255.212
10/17/2023,22,10,C,305.083
10/17/2023,28,100,A,333.354
10/17/2023,28,100,B,247.039
10/17/2023,28,100,C,239.573
10/17/2023,28,10,A,194.739
10/17/2023,28,10,B,171.575
10/17/2023,28,10,C,25.996
10/18/2023,18,100,A,239.1
10/18/2023,18,100,B,191.148
10/18/2023,18,100,C,211.778
10/18/2023,18,10,A,200.93
10/18/2023,18,10,B,215.011
10/18/2023,18,10,C,227.024
10/18/2023,22,100,A,187.258
10/18/2023,22,100,B,302.698
10/18/2023,22,100,C,344.5
10/18/2023,22,10,A,300.874
10/18/2023,22,10,B,236.815
10/18/2023,22,10,C,228.569
10/18/2023,28,100,A,289.802
10/18/2023,28,100,B,373.038
10/18/2023,28,100,C,321.715
10/18/2023,28,10,A,311.72
10/18/2023,28,10,B,273.089
10/18/2023,28,10,C,31.469
10/19/2023,18,100,A,509.751
10/19/2023,18,100,B,561.058
10/19/2023,18,100,C,858.567
10/19/2023,18,10,A,376.781
10/19/2023,18,10,B,407.834
10/19/2023,18,10,C,431.294
10/19/2023,22,100,A,331.118
10/19/2023,22,100,B,596.849
10/19/2023,22,100,C,683.271
10/19/2023,22,10,A,261.307
10/19/2023,22,10,B,323.998
10/19/2023,22,10,C,327.215
10/19/2023,28,100,A,289.929
10/19/2023,28,100,B,515.15
10/19/2023,28,100,C,324.466
10/19/2023,28,10,A,265.267
10/19/2023,28,10,B,239.151
10/19/2023,28,10,C,38.501
10/20/2023,22,100,A,168.109
10/20/2023,22,100,B,288.968
10/20/2023,22,100,C,343.658
10/20/2023,22,10,A,237.749
10/20/2023,22,10,B,158.341
10/20/2023,22,10,C,172.207
10/20/2023,28,100,A,259.788
10/20/2023,28,100,B,413.723
10/20/2023,28,100,C,368.79
10/20/2023,28,10,A,220.42
10/20/2023,28,10,B,194.421
10/20/2023,28,10,C,43.456
10/21/2023,18,100,A,576.363
10/21/2023,18,100,B,448.573
10/21/2023,18,100,C,533.796
10/21/2023,18,10,A,347.622
10/21/2023,18,10,B,486.586
10/21/2023,18,10,C,398.01
10/21/2023,18,spike,A,3603.883
10/21/2023,18,spike,B,738.609
10/21/2023,18,spike,C,614.729
10/21/2023,22,100,A,423.104
10/21/2023,22,100,B,678.816
10/21/2023,22,100,C,878.722
10/21/2023,22,10,A,276.686
10/21/2023,22,10,B,213.922
10/21/2023,22,10,C,238.158
10/21/2023,22,spike,A,514.655
10/21/2023,22,spike,B,365.535
10/21/2023,22,spike,C,509.681
10/21/2023,28,100,A,703.528
10/21/2023,28,100,B,771.677
10/21/2023,28,100,C,515.831
10/21/2023,28,10,A,235.738
10/21/2023,28,10,B,198.741
10/21/2023,28,10,C,11.596
10/21/2023,28,spike,A,382.787
10/21/2023,28,spike,B,293.193
10/21/2023,28,spike,C,7.983
10/22/2023,18,100,A,519.145
10/22/2023,18,100,B,592.254
10/22/2023,18,100,C,583.401
10/22/2023,18,10,A,263.675
10/22/2023,18,10,B,324.531
10/22/2023,18,10,C,326.635
10/22/2023,18,spike,A,1084.228
10/22/2023,18,spike,B,940.104
10/22/2023,18,spike,C,953.73
10/22/2023,22,100,A,533.773
